,input_a,input_b,operand,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR2_checker,MR3_checker,MR4_checker,Component 1,Component 2,Component 3,Component 4,Component 5,KMeans,segment
48,3,9,1,-6.0,9.0,3.0,6.0,4.0,12.0,36.0,-24.0,7.0,13.0,-6.0,-1.0,5.0,-6.0,0.0,0.0,1.0,1.0,-3.4282542351318748,-1.2903438453284979,-1.8189927130074857,3.385826799321966,0.2019358832266602,3,fourth
49,9,4,1,5.0,4.0,9.0,-5.0,6.0,54.0,24.0,30.0,15.0,10.0,5.0,3.0,-2.0,5.0,0.0,1.0,1.0,1.0,-0.6396765062163288,-0.2675274728722216,3.8749019747856974,0.8484627345921981,-0.5780506100712086,1,seconds
50,1,3,1,-2.0,3.0,1.0,2.0,7.0,7.0,21.0,-14.0,8.0,10.0,-2.0,-6.0,-4.0,-2.0,0.0,0.0,1.0,1.0,-3.1528157390339695,-2.53998304012223,-1.1071683709614357,-0.4479370871531077,1.3257702275378669,3,fourth
51,9,2,1,7.0,2.0,9.0,-7.0,6.0,54.0,12.0,42.0,15.0,8.0,7.0,3.0,-4.0,7.0,0.0,1.0,1.0,1.0,-0.5204041718114335,0.06313127262680776,4.386748643751886,-0.5177690389329211,-0.2952719326304904,1,seconds
52,9,2,1,7.0,2.0,9.0,-7.0,1.0,9.0,2.0,7.0,10.0,3.0,7.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,-2.057280872404493,2.925789854510501,2.7373200625839726,-1.0386902291929403,-0.6429681105169949,1,seconds
53,5,0,1,5.0,0.0,5.0,-5.0,9.0,45.0,0.0,45.0,14.0,9.0,5.0,-4.0,-9.0,5.0,0.0,1.0,1.0,1.0,-0.7883369006456914,-2.0237623005817973,3.088202140939448,-2.311948211153095,0.06647877065763859,1,seconds
54,6,6,1,0.0,6.0,6.0,0.0,4.0,24.0,24.0,0.0,10.0,10.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,-1.4383602459702247,0.13331369229184428,0.5461356948602102,1.2916397899071324,-0.9361477477653409,1,seconds
55,8,5,1,3.0,5.0,8.0,-3.0,1.0,8.0,5.0,3.0,9.0,6.0,3.0,7.0,4.0,3.0,0.0,1.0,1.0,1.0,-2.348586982135096,2.4094586532695663,1.5235083047689497,0.5753935904696091,-1.1883835987905207,1,seconds
56,6,1,1,5.0,1.0,6.0,-5.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,6.0,1.0,5.0,0.0,0.0,1.0,1.0,-3.328065194813426,2.6101669815361523,0.8559396039216871,-1.6330594157629708,1.2295287722856227,1,seconds
57,7,4,1,3.0,4.0,7.0,-3.0,7.0,49.0,28.0,21.0,14.0,11.0,3.0,0.0,-3.0,3.0,0.0,1.0,1.0,1.0,-0.9344317847987145,-1.3144787114181307,2.8667808008772306,0.6977881691918677,-0.568120982206707,1,seconds
58,1,4,1,-3.0,4.0,1.0,3.0,6.0,6.0,24.0,-18.0,7.0,10.0,-3.0,-5.0,-2.0,-3.0,0.0,0.0,1.0,1.0,-3.3633310817617197,-2.192777085052024,-1.508120577604238,0.13666496103804215,1.0788048127053806,3,fourth
59,9,4,1,5.0,4.0,9.0,-5.0,9.0,81.0,36.0,45.0,18.0,13.0,5.0,0.0,-5.0,5.0,0.0,1.0,1.0,1.0,0.25439879501206175,-2.088151069022749,4.831384412279936,1.283803870456829,-0.3440892818881862,1,seconds
60,6,6,1,0.0,6.0,6.0,0.0,3.0,18.0,18.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,-1.6701022148935143,0.745593116367806,0.3056143498415965,1.1153972802113938,-1.0345125698365862,1,seconds
61,7,3,1,4.0,3.0,7.0,-4.0,3.0,21.0,9.0,12.0,10.0,6.0,4.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,-1.9291003340591084,1.149666769628195,2.0101345886375417,-0.4782532181038592,-0.7578211739644577,1,seconds
62,9,4,1,5.0,4.0,9.0,-5.0,8.0,72.0,32.0,40.0,17.0,12.0,5.0,1.0,-4.0,5.0,0.0,1.0,1.0,1.0,-0.04362630539740162,-1.4812765369725733,4.51255693311519,1.1386901585019522,-0.42207639128252705,1,seconds
63,1,4,1,-3.0,4.0,1.0,3.0,8.0,8.0,32.0,-24.0,9.0,12.0,-3.0,-7.0,-4.0,-3.0,0.0,0.0,1.0,1.0,-3.0709229704202627,-3.2521905563649023,-1.2291210703536575,0.37462211208373447,1.298404838746675,3,fourth
64,6,5,1,1.0,5.0,6.0,-1.0,2.0,12.0,10.0,2.0,8.0,7.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,-2.4772187052409786,1.2585222359439852,0.7116017035579528,0.47458579050675004,-1.2100195505970939,1,seconds
65,5,7,1,-2.0,7.0,5.0,2.0,5.0,25.0,35.0,-10.0,10.0,12.0,-2.0,0.0,2.0,-2.0,0.0,0.0,1.0,1.0,-2.640678566231105,-1.1502230347487703,0.07576660153141365,2.5710812532269487,0.7000928394840811,3,fourth
66,4,4,1,0.0,4.0,4.0,0.0,9.0,36.0,36.0,0.0,13.0,13.0,0.0,-5.0,-5.0,0.0,1.0,1.0,1.0,1.0,-0.8010182491826537,-2.8958890438674887,0.8771512842830353,0.374976297580864,-0.23903961113620043,1,seconds
67,5,3,1,2.0,3.0,5.0,-2.0,6.0,30.0,18.0,12.0,11.0,9.0,2.0,-1.0,-3.0,2.0,0.0,1.0,1.0,1.0,-1.6896905746282123,-1.0209354113110414,1.566591865892094,-0.41316213866476104,-0.5886826862236811,1,seconds
68,4,1,1,3.0,1.0,4.0,-3.0,6.0,24.0,6.0,18.0,10.0,7.0,3.0,-2.0,-5.0,3.0,0.0,1.0,1.0,1.0,-1.8478307991268998,-0.9199609936090958,1.4373801740141077,-1.9240211588134806,-0.3439093625011706,1,seconds
69,7,9,1,-2.0,9.0,7.0,2.0,2.0,14.0,18.0,-4.0,9.0,11.0,-2.0,5.0,7.0,-2.0,0.0,0.0,1.0,1.0,-2.943813524160096,1.0524405065242413,0.07321309461417333,3.45639342417623,0.1716501620387638,3,fourth
70,7,8,1,-1.0,8.0,7.0,1.0,1.0,7.0,8.0,-1.0,8.0,9.0,-1.0,6.0,7.0,-1.0,0.0,1.0,1.0,1.0,-2.6398930918656993,1.893127452028631,0.3096965469539266,2.1894774101321577,-1.7337990870640465,1,seconds
71,5,8,1,-3.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,-3.0,5.0,8.0,-3.0,0.0,1.0,1.0,1.0,-3.208356002371245,1.9742753161424749,-0.9553076600674473,1.7189867458803894,-1.9603652328749193,3,fourth
72,2,7,1,-5.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,-5.0,2.0,7.0,-5.0,0.0,1.0,1.0,1.0,-3.667410880344838,1.17389571659452,-2.2522467368596093,0.7835815979277192,-1.9792273670172538,3,fourth
73,9,3,1,6.0,3.0,9.0,-6.0,7.0,63.0,21.0,42.0,16.0,10.0,6.0,2.0,-4.0,6.0,0.0,1.0,1.0,1.0,-0.2773401187498434,-0.6919012243361642,4.455181906967956,0.2899958228330789,-0.36289809886502866,1,seconds
