,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
65,input_a==5,input_b==7,sub,output==-2,MR1_input_a==7,MR1_input_b==5,MR1_output==2,constant==5,MR2_input_a==25,MR2_input_b==35,MR2_output==-10,MR3_input_a==10,MR3_input_b==12,MR3_output==-2,MR4_input_a==0,MR4_input_b==2,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
69,input_a==7,input_b==9,sub,output==-2,MR1_input_a==9,MR1_input_b==7,MR1_output==2,constant==2,MR2_input_a==14,MR2_input_b==18,MR2_output==-4,MR3_input_a==9,MR3_input_b==11,MR3_output==-2,MR4_input_a==5,MR4_input_b==7,MR4_output==-2,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
71,input_a==5,input_b==8,sub,output==-3,MR1_input_a==8,MR1_input_b==5,MR1_output==3,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==5,MR3_input_b==8,MR3_output==-3,MR4_input_a==5,MR4_input_b==8,MR4_output==-3,Violated,No-violated,No-violated,No-violated,KMeans==3,fourth
72,input_a==2,input_b==7,sub,output==-5,MR1_input_a==7,MR1_input_b==2,MR1_output==5,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==2,MR3_input_b==7,MR3_output==-5,MR4_input_a==2,MR4_input_b==7,MR4_output==-5,Violated,No-violated,No-violated,No-violated,KMeans==3,fourth
74,input_a==8,input_b==9,sub,output==-1,MR1_input_a==9,MR1_input_b==8,MR1_output==1,constant==2,MR2_input_a==16,MR2_input_b==18,MR2_output==-2,MR3_input_a==10,MR3_input_b==11,MR3_output==-1,MR4_input_a==6,MR4_input_b==7,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
75,input_a==0,input_b==5,sub,output==-5,MR1_input_a==5,MR1_input_b==0,MR1_output==5,constant==5,MR2_input_a==0,MR2_input_b==25,MR2_output==-25,MR3_input_a==5,MR3_input_b==10,MR3_output==-5,MR4_input_a==-5,MR4_input_b==0,MR4_output==-5,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
76,input_a==0,input_b==7,sub,output==-7,MR1_input_a==7,MR1_input_b==0,MR1_output==7,constant==8,MR2_input_a==0,MR2_input_b==56,MR2_output==-56,MR3_input_a==8,MR3_input_b==15,MR3_output==-7,MR4_input_a==-8,MR4_input_b==-1,MR4_output==-7,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
77,input_a==0,input_b==1,sub,output==-1,MR1_input_a==1,MR1_input_b==0,MR1_output==1,constant==8,MR2_input_a==0,MR2_input_b==8,MR2_output==-8,MR3_input_a==8,MR3_input_b==9,MR3_output==-1,MR4_input_a==-8,MR4_input_b==-7,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
79,input_a==5,input_b==6,sub,output==-1,MR1_input_a==6,MR1_input_b==5,MR1_output==1,constant==7,MR2_input_a==35,MR2_input_b==42,MR2_output==-7,MR3_input_a==12,MR3_input_b==13,MR3_output==-1,MR4_input_a==-2,MR4_input_b==-1,MR4_output==-1,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
80,input_a==3,input_b==6,sub,output==-3,MR1_input_a==6,MR1_input_b==3,MR1_output==3,constant==9,MR2_input_a==27,MR2_input_b==54,MR2_output==-27,MR3_input_a==12,MR3_input_b==15,MR3_output==-3,MR4_input_a==-6,MR4_input_b==-3,MR4_output==-3,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
84,input_a==0,input_b==5,sub,output==-5,MR1_input_a==5,MR1_input_b==0,MR1_output==5,constant==7,MR2_input_a==0,MR2_input_b==35,MR2_output==-35,MR3_input_a==7,MR3_input_b==12,MR3_output==-5,MR4_input_a==-7,MR4_input_b==-2,MR4_output==-5,Violated,Violated,No-violated,No-violated,KMeans==3,fourth
