,"(a,b)",input_a,input_b,const,output,MR3_input_a,MR3_input_b,MR3_inputs,MR3_output,MR3_checker
56,"(6,5)",6,5,6,11.0,12.0,11.0,"(12,11)",23.0,Violated
57,"(7,5)",7,5,6,12.0,13.0,11.0,"(13,11)",24.0,Violated
58,"(8,5)",8,5,6,13.0,14.0,11.0,"(14,11)",25.0,Violated
59,"(9,5)",9,5,6,14.0,15.0,11.0,"(15,11)",26.0,Violated
60,"(0,6)",0,6,6,6.0,6.0,12.0,"(6,12)",18.0,Violated
61,"(1,6)",1,6,6,7.0,7.0,12.0,"(7,12)",19.0,Violated
62,"(2,6)",2,6,6,8.0,8.0,12.0,"(8,12)",20.0,Violated
63,"(3,6)",3,6,6,9.0,9.0,12.0,"(9,12)",21.0,Violated
64,"(4,6)",4,6,6,10.0,10.0,12.0,"(10,12)",22.0,Violated
65,"(5,6)",5,6,6,11.0,11.0,12.0,"(11,12)",23.0,Violated
66,"(6,6)",6,6,6,12.0,12.0,12.0,"(12,12)",24.0,Violated
67,"(7,6)",7,6,6,13.0,13.0,12.0,"(13,12)",25.0,Violated
68,"(8,6)",8,6,6,14.0,14.0,12.0,"(14,12)",26.0,Violated
69,"(9,6)",9,6,6,15.0,15.0,12.0,"(15,12)",27.0,Violated
70,"(0,7)",0,7,6,7.0,6.0,13.0,"(6,13)",19.0,Violated
71,"(1,7)",1,7,6,8.0,7.0,13.0,"(7,13)",20.0,Violated
72,"(2,7)",2,7,6,9.0,8.0,13.0,"(8,13)",21.0,Violated
73,"(3,7)",3,7,6,10.0,9.0,13.0,"(9,13)",22.0,Violated
74,"(4,7)",4,7,6,11.0,10.0,13.0,"(10,13)",23.0,Violated
75,"(5,7)",5,7,6,12.0,11.0,13.0,"(11,13)",24.0,Violated
76,"(6,7)",6,7,6,13.0,12.0,13.0,"(12,13)",25.0,Violated
77,"(7,7)",7,7,6,14.0,13.0,13.0,"(13,13)",26.0,Violated
78,"(8,7)",8,7,6,15.0,14.0,13.0,"(14,13)",27.0,Violated
79,"(9,7)",9,7,6,16.0,15.0,13.0,"(15,13)",28.0,Violated
80,"(0,8)",0,8,6,8.0,6.0,14.0,"(6,14)",20.0,Violated
81,"(1,8)",1,8,6,9.0,7.0,14.0,"(7,14)",21.0,Violated
82,"(2,8)",2,8,6,10.0,8.0,14.0,"(8,14)",22.0,Violated
83,"(3,8)",3,8,6,11.0,9.0,14.0,"(9,14)",23.0,Violated
84,"(4,8)",4,8,6,12.0,10.0,14.0,"(10,14)",24.0,Violated
85,"(5,8)",5,8,6,13.0,11.0,14.0,"(11,14)",25.0,Violated
86,"(6,8)",6,8,6,14.0,12.0,14.0,"(12,14)",26.0,Violated
87,"(7,8)",7,8,6,15.0,13.0,14.0,"(13,14)",27.0,Violated
88,"(8,8)",8,8,6,16.0,14.0,14.0,"(14,14)",28.0,Violated
89,"(9,8)",9,8,6,17.0,15.0,14.0,"(15,14)",29.0,Violated
90,"(0,9)",0,9,6,9.0,6.0,15.0,"(6,15)",21.0,Violated
91,"(1,9)",1,9,6,10.0,7.0,15.0,"(7,15)",22.0,Violated
92,"(2,9)",2,9,6,11.0,8.0,15.0,"(8,15)",23.0,Violated
93,"(3,9)",3,9,6,12.0,9.0,15.0,"(9,15)",24.0,Violated
94,"(4,9)",4,9,6,13.0,10.0,15.0,"(10,15)",25.0,Violated
95,"(5,9)",5,9,6,14.0,11.0,15.0,"(11,15)",26.0,Violated
96,"(6,9)",6,9,6,15.0,12.0,15.0,"(12,15)",27.0,Violated
97,"(7,9)",7,9,6,16.0,13.0,15.0,"(13,15)",28.0,Violated
98,"(8,9)",8,9,6,17.0,14.0,15.0,"(14,15)",29.0,Violated
99,"(9,9)",9,9,6,18.0,15.0,15.0,"(15,15)",30.0,Violated
