,"(a,b)",input_a,input_b,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
52,"(2,5)",2,5,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
53,"(3,5)",3,5,6,-2.0,18.0,30.0,"(18,30)",-12.0,Violated
54,"(4,5)",4,5,6,-1.0,24.0,30.0,"(24,30)",-6.0,Violated
55,"(5,5)",5,5,6,0.0,30.0,30.0,"(30,30)",0.0,Violated
56,"(6,5)",6,5,6,1.0,36.0,30.0,"(36,30)",6.0,No-violated
57,"(7,5)",7,5,6,2.0,42.0,30.0,"(42,30)",12.0,No-violated
58,"(8,5)",8,5,6,3.0,48.0,30.0,"(48,30)",18.0,No-violated
59,"(9,5)",9,5,6,4.0,54.0,30.0,"(54,30)",24.0,No-violated
60,"(0,6)",0,6,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
61,"(1,6)",1,6,6,-5.0,6.0,36.0,"(6,36)",-30.0,Violated
62,"(2,6)",2,6,6,-4.0,12.0,36.0,"(12,36)",-24.0,Violated
63,"(3,6)",3,6,6,-3.0,18.0,36.0,"(18,36)",-18.0,Violated
64,"(4,6)",4,6,6,-2.0,24.0,36.0,"(24,36)",-12.0,Violated
65,"(5,6)",5,6,6,-1.0,30.0,36.0,"(30,36)",-6.0,Violated
66,"(6,6)",6,6,6,0.0,36.0,36.0,"(36,36)",0.0,Violated
67,"(7,6)",7,6,6,1.0,42.0,36.0,"(42,36)",6.0,No-violated
68,"(8,6)",8,6,6,2.0,48.0,36.0,"(48,36)",12.0,No-violated
69,"(9,6)",9,6,6,3.0,54.0,36.0,"(54,36)",18.0,No-violated
70,"(0,7)",0,7,6,-7.0,0.0,42.0,"(0,42)",-42.0,Violated
71,"(1,7)",1,7,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
72,"(2,7)",2,7,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
73,"(3,7)",3,7,6,-4.0,18.0,42.0,"(18,42)",-24.0,Violated
74,"(4,7)",4,7,6,-3.0,24.0,42.0,"(24,42)",-18.0,Violated
75,"(5,7)",5,7,6,-2.0,30.0,42.0,"(30,42)",-12.0,Violated
76,"(6,7)",6,7,6,-1.0,36.0,42.0,"(36,42)",-6.0,Violated
77,"(7,7)",7,7,6,0.0,42.0,42.0,"(42,42)",0.0,Violated
78,"(8,7)",8,7,6,1.0,48.0,42.0,"(48,42)",6.0,No-violated
79,"(9,7)",9,7,6,2.0,54.0,42.0,"(54,42)",12.0,No-violated
80,"(0,8)",0,8,6,-8.0,0.0,48.0,"(0,48)",-48.0,Violated
81,"(1,8)",1,8,6,-7.0,6.0,48.0,"(6,48)",-42.0,Violated
82,"(2,8)",2,8,6,-6.0,12.0,48.0,"(12,48)",-36.0,Violated
83,"(3,8)",3,8,6,-5.0,18.0,48.0,"(18,48)",-30.0,Violated
84,"(4,8)",4,8,6,-4.0,24.0,48.0,"(24,48)",-24.0,Violated
85,"(5,8)",5,8,6,-3.0,30.0,48.0,"(30,48)",-18.0,Violated
86,"(6,8)",6,8,6,-2.0,36.0,48.0,"(36,48)",-12.0,Violated
87,"(7,8)",7,8,6,-1.0,42.0,48.0,"(42,48)",-6.0,Violated
88,"(8,8)",8,8,6,0.0,48.0,48.0,"(48,48)",0.0,Violated
89,"(9,8)",9,8,6,1.0,54.0,48.0,"(54,48)",6.0,No-violated
90,"(0,9)",0,9,6,-9.0,0.0,54.0,"(0,54)",-54.0,Violated
91,"(1,9)",1,9,6,-8.0,6.0,54.0,"(6,54)",-48.0,Violated
92,"(2,9)",2,9,6,-7.0,12.0,54.0,"(12,54)",-42.0,Violated
93,"(3,9)",3,9,6,-6.0,18.0,54.0,"(18,54)",-36.0,Violated
94,"(4,9)",4,9,6,-5.0,24.0,54.0,"(24,54)",-30.0,Violated
95,"(5,9)",5,9,6,-4.0,30.0,54.0,"(30,54)",-24.0,Violated
96,"(6,9)",6,9,6,-3.0,36.0,54.0,"(36,54)",-18.0,Violated
97,"(7,9)",7,9,6,-2.0,42.0,54.0,"(42,54)",-12.0,Violated
98,"(8,9)",8,9,6,-1.0,48.0,54.0,"(48,54)",-6.0,Violated
99,"(9,9)",9,9,6,0.0,54.0,54.0,"(54,54)",0.0,Violated
