,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
1540,"('MR2_input_a == 54.0', 'MR2_input_b == 24.0')",2,"('input_a == 9', 'input_b == 4')",2,1.0,0.01,100.0,989999999.9999999
1541,"('input_a == 8', 'input_b == 7')",2,"('MR2_input_b == 42.0',)",1,1.0,0.01,10.0,900000000.0
1542,"('MR2_input_b == 42.0', 'input_a == 8')",2,"('input_b == 7',)",1,1.0,0.01,10.0,900000000.0
1543,"('input_a == 5', 'input_b == 9')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1544,"('MR2_input_a == 48.0', 'MR2_input_b == 6.0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1545,"('MR2_input_a == 18.0', 'input_a == 3', 'input_b == 6')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1546,"('MR2_checker == No-violated', 'input_a == 3', 'input_b == 6')",3,"('MR2_input_a == 18.0',)",1,1.0,0.01,10.0,900000000.0
1547,"('MR2_checker == No-violated', 'MR2_input_a == 18.0', 'input_b == 6')",3,"('input_a == 3',)",1,1.0,0.01,10.0,900000000.0
1548,"('input_a == 3', 'input_b == 6')",2,"('MR2_checker == No-violated', 'MR2_input_a == 18.0')",2,1.0,0.01,10.0,900000000.0
1549,"('MR2_input_a == 18.0', 'input_b == 6')",2,"('MR2_checker == No-violated', 'input_a == 3')",2,1.0,0.01,10.0,900000000.0
1550,"('input_a == 7', 'input_b == 6')",2,"('MR2_input_a == 42.0',)",1,1.0,0.01,10.0,900000000.0
1551,"('MR2_input_a == 42.0', 'input_b == 6')",2,"('input_a == 7',)",1,1.0,0.01,10.0,900000000.0
1552,"('input_a == 8', 'input_b == 3')",2,"('MR2_input_b == 18.0',)",1,1.0,0.01,10.0,900000000.0
1553,"('MR2_input_b == 18.0', 'input_a == 8')",2,"('input_b == 3',)",1,1.0,0.01,10.0,900000000.0
1554,"('MR2_input_a == 30.0', 'input_b == 0')",2,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
1555,"('MR2_input_a == 54.0', 'MR2_input_b == 12.0', 'input_a == 9')",3,"('MR2_checker == No-violated',)",1,1.0,0.01,1.01010101010101,10000000.000000007
