,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
144,input_a==5,input_b==4,sum,output==9,MR1_input_a==4,MR1_input_b==5,MR1_output==9,constant==2,MR2_input_a==10,MR2_input_b==8,MR2_output==18,MR3_input_a==7,MR3_input_b==6,MR3_output==13,MR4_input_a==3,MR4_input_b==2,MR4_output==5,No-violated,No-violated,Violated,Violated,KMeans==0,first
147,input_a==9,input_b==7,sum,output==16,MR1_input_a==7,MR1_input_b==9,MR1_output==16,constant==2,MR2_input_a==18,MR2_input_b==14,MR2_output==32,MR3_input_a==11,MR3_input_b==9,MR3_output==20,MR4_input_a==7,MR4_input_b==5,MR4_output==12,No-violated,No-violated,Violated,Violated,KMeans==0,first
148,input_a==3,input_b==9,sum,output==12,MR1_input_a==9,MR1_input_b==3,MR1_output==12,constant==4,MR2_input_a==12,MR2_input_b==36,MR2_output==48,MR3_input_a==7,MR3_input_b==13,MR3_output==20,MR4_input_a==-1,MR4_input_b==5,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
152,input_a==9,input_b==2,sum,output==11,MR1_input_a==2,MR1_input_b==9,MR1_output==11,constant==1,MR2_input_a==9,MR2_input_b==2,MR2_output==11,MR3_input_a==10,MR3_input_b==3,MR3_output==13,MR4_input_a==8,MR4_input_b==1,MR4_output==9,No-violated,No-violated,Violated,Violated,KMeans==0,first
154,input_a==6,input_b==6,sum,output==12,MR1_input_a==6,MR1_input_b==6,MR1_output==12,constant==4,MR2_input_a==24,MR2_input_b==24,MR2_output==48,MR3_input_a==10,MR3_input_b==10,MR3_output==20,MR4_input_a==2,MR4_input_b==2,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
155,input_a==8,input_b==5,sum,output==13,MR1_input_a==5,MR1_input_b==8,MR1_output==13,constant==1,MR2_input_a==8,MR2_input_b==5,MR2_output==13,MR3_input_a==9,MR3_input_b==6,MR3_output==15,MR4_input_a==7,MR4_input_b==4,MR4_output==11,No-violated,No-violated,Violated,Violated,KMeans==0,first
156,input_a==6,input_b==1,sum,output==7,MR1_input_a==1,MR1_input_b==6,MR1_output==7,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==6,MR3_input_b==1,MR3_output==7,MR4_input_a==6,MR4_input_b==1,MR4_output==7,No-violated,Violated,No-violated,No-violated,KMeans==0,first
160,input_a==6,input_b==6,sum,output==12,MR1_input_a==6,MR1_input_b==6,MR1_output==12,constant==3,MR2_input_a==18,MR2_input_b==18,MR2_output==36,MR3_input_a==9,MR3_input_b==9,MR3_output==18,MR4_input_a==3,MR4_input_b==3,MR4_output==6,No-violated,No-violated,Violated,Violated,KMeans==0,first
161,input_a==7,input_b==3,sum,output==10,MR1_input_a==3,MR1_input_b==7,MR1_output==10,constant==3,MR2_input_a==21,MR2_input_b==9,MR2_output==30,MR3_input_a==10,MR3_input_b==6,MR3_output==16,MR4_input_a==4,MR4_input_b==0,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
164,input_a==6,input_b==5,sum,output==11,MR1_input_a==5,MR1_input_b==6,MR1_output==11,constant==2,MR2_input_a==12,MR2_input_b==10,MR2_output==22,MR3_input_a==8,MR3_input_b==7,MR3_output==15,MR4_input_a==4,MR4_input_b==3,MR4_output==7,No-violated,No-violated,Violated,Violated,KMeans==0,first
169,input_a==7,input_b==9,sum,output==16,MR1_input_a==9,MR1_input_b==7,MR1_output==16,constant==2,MR2_input_a==14,MR2_input_b==18,MR2_output==32,MR3_input_a==9,MR3_input_b==11,MR3_output==20,MR4_input_a==5,MR4_input_b==7,MR4_output==12,No-violated,No-violated,Violated,Violated,KMeans==0,first
170,input_a==7,input_b==8,sum,output==15,MR1_input_a==8,MR1_input_b==7,MR1_output==15,constant==1,MR2_input_a==7,MR2_input_b==8,MR2_output==15,MR3_input_a==8,MR3_input_b==9,MR3_output==17,MR4_input_a==6,MR4_input_b==7,MR4_output==13,No-violated,No-violated,Violated,Violated,KMeans==0,first
171,input_a==5,input_b==8,sum,output==13,MR1_input_a==8,MR1_input_b==5,MR1_output==13,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==5,MR3_input_b==8,MR3_output==13,MR4_input_a==5,MR4_input_b==8,MR4_output==13,No-violated,Violated,No-violated,No-violated,KMeans==0,first
172,input_a==2,input_b==7,sum,output==9,MR1_input_a==7,MR1_input_b==2,MR1_output==9,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==2,MR3_input_b==7,MR3_output==9,MR4_input_a==2,MR4_input_b==7,MR4_output==9,No-violated,Violated,No-violated,No-violated,KMeans==0,first
174,input_a==8,input_b==9,sum,output==17,MR1_input_a==9,MR1_input_b==8,MR1_output==17,constant==2,MR2_input_a==16,MR2_input_b==18,MR2_output==34,MR3_input_a==10,MR3_input_b==11,MR3_output==21,MR4_input_a==6,MR4_input_b==7,MR4_output==13,No-violated,No-violated,Violated,Violated,KMeans==0,first
187,input_a==4,input_b==1,sum,output==5,MR1_input_a==1,MR1_input_b==4,MR1_output==5,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==4,MR3_input_b==1,MR3_output==5,MR4_input_a==4,MR4_input_b==1,MR4_output==5,No-violated,Violated,No-violated,No-violated,KMeans==0,first
188,input_a==9,input_b==1,sum,output==10,MR1_input_a==1,MR1_input_b==9,MR1_output==10,constant==3,MR2_input_a==27,MR2_input_b==3,MR2_output==30,MR3_input_a==12,MR3_input_b==4,MR3_output==16,MR4_input_a==6,MR4_input_b==-2,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
191,input_a==5,input_b==5,sum,output==10,MR1_input_a==5,MR1_input_b==5,MR1_output==10,constant==1,MR2_input_a==5,MR2_input_b==5,MR2_output==10,MR3_input_a==6,MR3_input_b==6,MR3_output==12,MR4_input_a==4,MR4_input_b==4,MR4_output==8,No-violated,No-violated,Violated,Violated,KMeans==0,first
195,input_a==8,input_b==7,sum,output==15,MR1_input_a==7,MR1_input_b==8,MR1_output==15,constant==1,MR2_input_a==8,MR2_input_b==7,MR2_output==15,MR3_input_a==9,MR3_input_b==8,MR3_output==17,MR4_input_a==7,MR4_input_b==6,MR4_output==13,No-violated,No-violated,Violated,Violated,KMeans==0,first
196,input_a==1,input_b==9,sum,output==10,MR1_input_a==9,MR1_input_b==1,MR1_output==10,constant==3,MR2_input_a==3,MR2_input_b==27,MR2_output==30,MR3_input_a==4,MR3_input_b==12,MR3_output==16,MR4_input_a==-2,MR4_input_b==6,MR4_output==4,No-violated,No-violated,Violated,Violated,KMeans==0,first
