,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
14,input_a==7,input_b==3,sub,output==4,MR1_input_a==3,MR1_input_b==7,MR1_output==-4,constant==8,MR2_input_a==56,MR2_input_b==24,MR2_output==32,MR3_input_a==15,MR3_input_b==11,MR3_output==4,MR4_input_a==-1,MR4_input_b==-5,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
15,input_a==5,input_b==0,sub,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==-5,constant==2,MR2_input_a==10,MR2_input_b==0,MR2_output==10,MR3_input_a==7,MR3_input_b==2,MR3_output==5,MR4_input_a==3,MR4_input_b==-2,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
16,input_a==7,input_b==5,sub,output==2,MR1_input_a==5,MR1_input_b==7,MR1_output==-2,constant==8,MR2_input_a==56,MR2_input_b==40,MR2_output==16,MR3_input_a==15,MR3_input_b==13,MR3_output==2,MR4_input_a==-1,MR4_input_b==-3,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
18,input_a==9,input_b==5,sub,output==4,MR1_input_a==5,MR1_input_b==9,MR1_output==-4,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==9,MR3_input_b==5,MR3_output==4,MR4_input_a==9,MR4_input_b==5,MR4_output==4,Violated,Violated,No-violated,No-violated,KMeans==1,seconds
20,input_a==2,input_b==1,sub,output==1,MR1_input_a==1,MR1_input_b==2,MR1_output==-1,constant==4,MR2_input_a==8,MR2_input_b==4,MR2_output==4,MR3_input_a==6,MR3_input_b==5,MR3_output==1,MR4_input_a==-2,MR4_input_b==-3,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
23,input_a==6,input_b==0,sub,output==6,MR1_input_a==0,MR1_input_b==6,MR1_output==-6,constant==3,MR2_input_a==18,MR2_input_b==0,MR2_output==18,MR3_input_a==9,MR3_input_b==3,MR3_output==6,MR4_input_a==3,MR4_input_b==-3,MR4_output==6,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
24,input_a==5,input_b==0,sub,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==-5,constant==7,MR2_input_a==35,MR2_input_b==0,MR2_output==35,MR3_input_a==12,MR3_input_b==7,MR3_output==5,MR4_input_a==-2,MR4_input_b==-7,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
26,input_a==5,input_b==0,sub,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==-5,constant==1,MR2_input_a==5,MR2_input_b==0,MR2_output==5,MR3_input_a==6,MR3_input_b==1,MR3_output==5,MR4_input_a==4,MR4_input_b==-1,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
33,input_a==9,input_b==5,sub,output==4,MR1_input_a==5,MR1_input_b==9,MR1_output==-4,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==9,MR3_input_b==5,MR3_output==4,MR4_input_a==9,MR4_input_b==5,MR4_output==4,Violated,Violated,No-violated,No-violated,KMeans==1,seconds
35,input_a==9,input_b==6,sub,output==3,MR1_input_a==6,MR1_input_b==9,MR1_output==-3,constant==7,MR2_input_a==63,MR2_input_b==42,MR2_output==21,MR3_input_a==16,MR3_input_b==13,MR3_output==3,MR4_input_a==2,MR4_input_b==-1,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
36,input_a==5,input_b==0,sub,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==-5,constant==2,MR2_input_a==10,MR2_input_b==0,MR2_output==10,MR3_input_a==7,MR3_input_b==2,MR3_output==5,MR4_input_a==3,MR4_input_b==-2,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
37,input_a==4,input_b==0,sub,output==4,MR1_input_a==0,MR1_input_b==4,MR1_output==-4,constant==6,MR2_input_a==24,MR2_input_b==0,MR2_output==24,MR3_input_a==10,MR3_input_b==6,MR3_output==4,MR4_input_a==-2,MR4_input_b==-6,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
39,input_a==8,input_b==4,sub,output==4,MR1_input_a==4,MR1_input_b==8,MR1_output==-4,constant==5,MR2_input_a==40,MR2_input_b==20,MR2_output==20,MR3_input_a==13,MR3_input_b==9,MR3_output==4,MR4_input_a==3,MR4_input_b==-1,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
40,input_a==3,input_b==3,sub,output==0,MR1_input_a==3,MR1_input_b==3,MR1_output==0,constant==6,MR2_input_a==18,MR2_input_b==18,MR2_output==0,MR3_input_a==9,MR3_input_b==9,MR3_output==0,MR4_input_a==-3,MR4_input_b==-3,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==1,seconds
41,input_a==2,input_b==0,sub,output==2,MR1_input_a==0,MR1_input_b==2,MR1_output==-2,constant==9,MR2_input_a==18,MR2_input_b==0,MR2_output==18,MR3_input_a==11,MR3_input_b==9,MR3_output==2,MR4_input_a==-7,MR4_input_b==-9,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
44,input_a==5,input_b==4,sub,output==1,MR1_input_a==4,MR1_input_b==5,MR1_output==-1,constant==2,MR2_input_a==10,MR2_input_b==8,MR2_output==2,MR3_input_a==7,MR3_input_b==6,MR3_output==1,MR4_input_a==3,MR4_input_b==2,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
46,input_a==8,input_b==0,sub,output==8,MR1_input_a==0,MR1_input_b==8,MR1_output==-8,constant==7,MR2_input_a==56,MR2_input_b==0,MR2_output==56,MR3_input_a==15,MR3_input_b==7,MR3_output==8,MR4_input_a==1,MR4_input_b==-7,MR4_output==8,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
47,input_a==9,input_b==7,sub,output==2,MR1_input_a==7,MR1_input_b==9,MR1_output==-2,constant==2,MR2_input_a==18,MR2_input_b==14,MR2_output==4,MR3_input_a==11,MR3_input_b==9,MR3_output==2,MR4_input_a==7,MR4_input_b==5,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
49,input_a==9,input_b==4,sub,output==5,MR1_input_a==4,MR1_input_b==9,MR1_output==-5,constant==6,MR2_input_a==54,MR2_input_b==24,MR2_output==30,MR3_input_a==15,MR3_input_b==10,MR3_output==5,MR4_input_a==3,MR4_input_b==-2,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
51,input_a==9,input_b==2,sub,output==7,MR1_input_a==2,MR1_input_b==9,MR1_output==-7,constant==6,MR2_input_a==54,MR2_input_b==12,MR2_output==42,MR3_input_a==15,MR3_input_b==8,MR3_output==7,MR4_input_a==3,MR4_input_b==-4,MR4_output==7,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
52,input_a==9,input_b==2,sub,output==7,MR1_input_a==2,MR1_input_b==9,MR1_output==-7,constant==1,MR2_input_a==9,MR2_input_b==2,MR2_output==7,MR3_input_a==10,MR3_input_b==3,MR3_output==7,MR4_input_a==8,MR4_input_b==1,MR4_output==7,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
53,input_a==5,input_b==0,sub,output==5,MR1_input_a==0,MR1_input_b==5,MR1_output==-5,constant==9,MR2_input_a==45,MR2_input_b==0,MR2_output==45,MR3_input_a==14,MR3_input_b==9,MR3_output==5,MR4_input_a==-4,MR4_input_b==-9,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
54,input_a==6,input_b==6,sub,output==0,MR1_input_a==6,MR1_input_b==6,MR1_output==0,constant==4,MR2_input_a==24,MR2_input_b==24,MR2_output==0,MR3_input_a==10,MR3_input_b==10,MR3_output==0,MR4_input_a==2,MR4_input_b==2,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==1,seconds
55,input_a==8,input_b==5,sub,output==3,MR1_input_a==5,MR1_input_b==8,MR1_output==-3,constant==1,MR2_input_a==8,MR2_input_b==5,MR2_output==3,MR3_input_a==9,MR3_input_b==6,MR3_output==3,MR4_input_a==7,MR4_input_b==4,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
56,input_a==6,input_b==1,sub,output==5,MR1_input_a==1,MR1_input_b==6,MR1_output==-5,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==6,MR3_input_b==1,MR3_output==5,MR4_input_a==6,MR4_input_b==1,MR4_output==5,Violated,Violated,No-violated,No-violated,KMeans==1,seconds
57,input_a==7,input_b==4,sub,output==3,MR1_input_a==4,MR1_input_b==7,MR1_output==-3,constant==7,MR2_input_a==49,MR2_input_b==28,MR2_output==21,MR3_input_a==14,MR3_input_b==11,MR3_output==3,MR4_input_a==0,MR4_input_b==-3,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
59,input_a==9,input_b==4,sub,output==5,MR1_input_a==4,MR1_input_b==9,MR1_output==-5,constant==9,MR2_input_a==81,MR2_input_b==36,MR2_output==45,MR3_input_a==18,MR3_input_b==13,MR3_output==5,MR4_input_a==0,MR4_input_b==-5,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
60,input_a==6,input_b==6,sub,output==0,MR1_input_a==6,MR1_input_b==6,MR1_output==0,constant==3,MR2_input_a==18,MR2_input_b==18,MR2_output==0,MR3_input_a==9,MR3_input_b==9,MR3_output==0,MR4_input_a==3,MR4_input_b==3,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==1,seconds
61,input_a==7,input_b==3,sub,output==4,MR1_input_a==3,MR1_input_b==7,MR1_output==-4,constant==3,MR2_input_a==21,MR2_input_b==9,MR2_output==12,MR3_input_a==10,MR3_input_b==6,MR3_output==4,MR4_input_a==4,MR4_input_b==0,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
62,input_a==9,input_b==4,sub,output==5,MR1_input_a==4,MR1_input_b==9,MR1_output==-5,constant==8,MR2_input_a==72,MR2_input_b==32,MR2_output==40,MR3_input_a==17,MR3_input_b==12,MR3_output==5,MR4_input_a==1,MR4_input_b==-4,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
64,input_a==6,input_b==5,sub,output==1,MR1_input_a==5,MR1_input_b==6,MR1_output==-1,constant==2,MR2_input_a==12,MR2_input_b==10,MR2_output==2,MR3_input_a==8,MR3_input_b==7,MR3_output==1,MR4_input_a==4,MR4_input_b==3,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
66,input_a==4,input_b==4,sub,output==0,MR1_input_a==4,MR1_input_b==4,MR1_output==0,constant==9,MR2_input_a==36,MR2_input_b==36,MR2_output==0,MR3_input_a==13,MR3_input_b==13,MR3_output==0,MR4_input_a==-5,MR4_input_b==-5,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==1,seconds
67,input_a==5,input_b==3,sub,output==2,MR1_input_a==3,MR1_input_b==5,MR1_output==-2,constant==6,MR2_input_a==30,MR2_input_b==18,MR2_output==12,MR3_input_a==11,MR3_input_b==9,MR3_output==2,MR4_input_a==-1,MR4_input_b==-3,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
68,input_a==4,input_b==1,sub,output==3,MR1_input_a==1,MR1_input_b==4,MR1_output==-3,constant==6,MR2_input_a==24,MR2_input_b==6,MR2_output==18,MR3_input_a==10,MR3_input_b==7,MR3_output==3,MR4_input_a==-2,MR4_input_b==-5,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
70,input_a==7,input_b==8,sub,output==-1,MR1_input_a==8,MR1_input_b==7,MR1_output==1,constant==1,MR2_input_a==7,MR2_input_b==8,MR2_output==-1,MR3_input_a==8,MR3_input_b==9,MR3_output==-1,MR4_input_a==6,MR4_input_b==7,MR4_output==-1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
73,input_a==9,input_b==3,sub,output==6,MR1_input_a==3,MR1_input_b==9,MR1_output==-6,constant==7,MR2_input_a==63,MR2_input_b==21,MR2_output==42,MR3_input_a==16,MR3_input_b==10,MR3_output==6,MR4_input_a==2,MR4_input_b==-4,MR4_output==6,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
78,input_a==2,input_b==1,sub,output==1,MR1_input_a==1,MR1_input_b==2,MR1_output==-1,constant==4,MR2_input_a==8,MR2_input_b==4,MR2_output==4,MR3_input_a==6,MR3_input_b==5,MR3_output==1,MR4_input_a==-2,MR4_input_b==-3,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
81,input_a==3,input_b==1,sub,output==2,MR1_input_a==1,MR1_input_b==3,MR1_output==-2,constant==1,MR2_input_a==3,MR2_input_b==1,MR2_output==2,MR3_input_a==4,MR3_input_b==2,MR3_output==2,MR4_input_a==2,MR4_input_b==0,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
82,input_a==7,input_b==3,sub,output==4,MR1_input_a==3,MR1_input_b==7,MR1_output==-4,constant==8,MR2_input_a==56,MR2_input_b==24,MR2_output==32,MR3_input_a==15,MR3_input_b==11,MR3_output==4,MR4_input_a==-1,MR4_input_b==-5,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
83,input_a==6,input_b==2,sub,output==4,MR1_input_a==2,MR1_input_b==6,MR1_output==-4,constant==7,MR2_input_a==42,MR2_input_b==14,MR2_output==28,MR3_input_a==13,MR3_input_b==9,MR3_output==4,MR4_input_a==-1,MR4_input_b==-5,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
85,input_a==8,input_b==4,sub,output==4,MR1_input_a==4,MR1_input_b==8,MR1_output==-4,constant==6,MR2_input_a==48,MR2_input_b==24,MR2_output==24,MR3_input_a==14,MR3_input_b==10,MR3_output==4,MR4_input_a==2,MR4_input_b==-2,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
86,input_a==7,input_b==3,sub,output==4,MR1_input_a==3,MR1_input_b==7,MR1_output==-4,constant==4,MR2_input_a==28,MR2_input_b==12,MR2_output==16,MR3_input_a==11,MR3_input_b==7,MR3_output==4,MR4_input_a==3,MR4_input_b==-1,MR4_output==4,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
87,input_a==4,input_b==1,sub,output==3,MR1_input_a==1,MR1_input_b==4,MR1_output==-3,constant==0,MR2_input_a==0,MR2_input_b==0,MR2_output==0,MR3_input_a==4,MR3_input_b==1,MR3_output==3,MR4_input_a==4,MR4_input_b==1,MR4_output==3,Violated,Violated,No-violated,No-violated,KMeans==1,seconds
88,input_a==9,input_b==1,sub,output==8,MR1_input_a==1,MR1_input_b==9,MR1_output==-8,constant==3,MR2_input_a==27,MR2_input_b==3,MR2_output==24,MR3_input_a==12,MR3_input_b==4,MR3_output==8,MR4_input_a==6,MR4_input_b==-2,MR4_output==8,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
89,input_a==6,input_b==4,sub,output==2,MR1_input_a==4,MR1_input_b==6,MR1_output==-2,constant==9,MR2_input_a==54,MR2_input_b==36,MR2_output==18,MR3_input_a==15,MR3_input_b==13,MR3_output==2,MR4_input_a==-3,MR4_input_b==-5,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
90,input_a==7,input_b==2,sub,output==5,MR1_input_a==2,MR1_input_b==7,MR1_output==-5,constant==9,MR2_input_a==63,MR2_input_b==18,MR2_output==45,MR3_input_a==16,MR3_input_b==11,MR3_output==5,MR4_input_a==-2,MR4_input_b==-7,MR4_output==5,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
91,input_a==5,input_b==5,sub,output==0,MR1_input_a==5,MR1_input_b==5,MR1_output==0,constant==1,MR2_input_a==5,MR2_input_b==5,MR2_output==0,MR3_input_a==6,MR3_input_b==6,MR3_output==0,MR4_input_a==4,MR4_input_b==4,MR4_output==0,No-violated,No-violated,No-violated,No-violated,KMeans==1,seconds
92,input_a==8,input_b==0,sub,output==8,MR1_input_a==0,MR1_input_b==8,MR1_output==-8,constant==5,MR2_input_a==40,MR2_input_b==0,MR2_output==40,MR3_input_a==13,MR3_input_b==5,MR3_output==8,MR4_input_a==3,MR4_input_b==-5,MR4_output==8,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
93,input_a==6,input_b==3,sub,output==3,MR1_input_a==3,MR1_input_b==6,MR1_output==-3,constant==5,MR2_input_a==30,MR2_input_b==15,MR2_output==15,MR3_input_a==11,MR3_input_b==8,MR3_output==3,MR4_input_a==1,MR4_input_b==-2,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
94,input_a==4,input_b==1,sub,output==3,MR1_input_a==1,MR1_input_b==4,MR1_output==-3,constant==1,MR2_input_a==4,MR2_input_b==1,MR2_output==3,MR3_input_a==5,MR3_input_b==2,MR3_output==3,MR4_input_a==3,MR4_input_b==0,MR4_output==3,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
95,input_a==8,input_b==7,sub,output==1,MR1_input_a==7,MR1_input_b==8,MR1_output==-1,constant==1,MR2_input_a==8,MR2_input_b==7,MR2_output==1,MR3_input_a==9,MR3_input_b==8,MR3_output==1,MR4_input_a==7,MR4_input_b==6,MR4_output==1,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
97,input_a==3,input_b==1,sub,output==2,MR1_input_a==1,MR1_input_b==3,MR1_output==-2,constant==3,MR2_input_a==9,MR2_input_b==3,MR2_output==6,MR3_input_a==6,MR3_input_b==4,MR3_output==2,MR4_input_a==0,MR4_input_b==-2,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
99,input_a==9,input_b==7,sub,output==2,MR1_input_a==7,MR1_input_b==9,MR1_output==-2,constant==7,MR2_input_a==63,MR2_input_b==49,MR2_output==14,MR3_input_a==16,MR3_input_b==14,MR3_output==2,MR4_input_a==2,MR4_input_b==0,MR4_output==2,Violated,No-violated,No-violated,No-violated,KMeans==1,seconds
