,input_a_str,input_b_str,operand_str,output_str,MR1_input_a_str,MR1_input_b_str,MR1_output_str,constant_str,MR2_input_a_str,MR2_input_b_str,MR2_output_str,MR3_input_a_str,MR3_input_b_str,MR3_output_str,MR4_input_a_str,MR4_input_b_str,MR4_output_str,MR1_checker_str,MR2_checker_str,MR3_checker_str,MR4_checker_str,KMeans_str,segment
159,input_a==9,input_b==4,sum,output==13,MR1_input_a==4,MR1_input_b==9,MR1_output==13,constant==9,MR2_input_a==81,MR2_input_b==36,MR2_output==117,MR3_input_a==18,MR3_input_b==13,MR3_output==31,MR4_input_a==0,MR4_input_b==-5,MR4_output==-5,No-violated,No-violated,Violated,Violated,KMeans==2,third
162,input_a==9,input_b==4,sum,output==13,MR1_input_a==4,MR1_input_b==9,MR1_output==13,constant==8,MR2_input_a==72,MR2_input_b==32,MR2_output==104,MR3_input_a==17,MR3_input_b==12,MR3_output==29,MR4_input_a==1,MR4_input_b==-4,MR4_output==-3,No-violated,No-violated,Violated,Violated,KMeans==2,third
165,input_a==5,input_b==7,sum,output==12,MR1_input_a==7,MR1_input_b==5,MR1_output==12,constant==5,MR2_input_a==25,MR2_input_b==35,MR2_output==60,MR3_input_a==10,MR3_input_b==12,MR3_output==22,MR4_input_a==0,MR4_input_b==2,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==2,third
166,input_a==4,input_b==4,sum,output==8,MR1_input_a==4,MR1_input_b==4,MR1_output==8,constant==9,MR2_input_a==36,MR2_input_b==36,MR2_output==72,MR3_input_a==13,MR3_input_b==13,MR3_output==26,MR4_input_a==-5,MR4_input_b==-5,MR4_output==-10,No-violated,No-violated,Violated,Violated,KMeans==2,third
167,input_a==5,input_b==3,sum,output==8,MR1_input_a==3,MR1_input_b==5,MR1_output==8,constant==6,MR2_input_a==30,MR2_input_b==18,MR2_output==48,MR3_input_a==11,MR3_input_b==9,MR3_output==20,MR4_input_a==-1,MR4_input_b==-3,MR4_output==-4,No-violated,No-violated,Violated,Violated,KMeans==2,third
173,input_a==9,input_b==3,sum,output==12,MR1_input_a==3,MR1_input_b==9,MR1_output==12,constant==7,MR2_input_a==63,MR2_input_b==21,MR2_output==84,MR3_input_a==16,MR3_input_b==10,MR3_output==26,MR4_input_a==2,MR4_input_b==-4,MR4_output==-2,No-violated,No-violated,Violated,Violated,KMeans==2,third
179,input_a==5,input_b==6,sum,output==11,MR1_input_a==6,MR1_input_b==5,MR1_output==11,constant==7,MR2_input_a==35,MR2_input_b==42,MR2_output==77,MR3_input_a==12,MR3_input_b==13,MR3_output==25,MR4_input_a==-2,MR4_input_b==-1,MR4_output==-3,No-violated,No-violated,Violated,Violated,KMeans==2,third
180,input_a==3,input_b==6,sum,output==9,MR1_input_a==6,MR1_input_b==3,MR1_output==9,constant==9,MR2_input_a==27,MR2_input_b==54,MR2_output==81,MR3_input_a==12,MR3_input_b==15,MR3_output==27,MR4_input_a==-6,MR4_input_b==-3,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==2,third
182,input_a==7,input_b==3,sum,output==10,MR1_input_a==3,MR1_input_b==7,MR1_output==10,constant==8,MR2_input_a==56,MR2_input_b==24,MR2_output==80,MR3_input_a==15,MR3_input_b==11,MR3_output==26,MR4_input_a==-1,MR4_input_b==-5,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
183,input_a==6,input_b==2,sum,output==8,MR1_input_a==2,MR1_input_b==6,MR1_output==8,constant==7,MR2_input_a==42,MR2_input_b==14,MR2_output==56,MR3_input_a==13,MR3_input_b==9,MR3_output==22,MR4_input_a==-1,MR4_input_b==-5,MR4_output==-6,No-violated,No-violated,Violated,Violated,KMeans==2,third
185,input_a==8,input_b==4,sum,output==12,MR1_input_a==4,MR1_input_b==8,MR1_output==12,constant==6,MR2_input_a==48,MR2_input_b==24,MR2_output==72,MR3_input_a==14,MR3_input_b==10,MR3_output==24,MR4_input_a==2,MR4_input_b==-2,MR4_output==0,No-violated,No-violated,Violated,Violated,KMeans==2,third
186,input_a==7,input_b==3,sum,output==10,MR1_input_a==3,MR1_input_b==7,MR1_output==10,constant==4,MR2_input_a==28,MR2_input_b==12,MR2_output==40,MR3_input_a==11,MR3_input_b==7,MR3_output==18,MR4_input_a==3,MR4_input_b==-1,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==2,third
189,input_a==6,input_b==4,sum,output==10,MR1_input_a==4,MR1_input_b==6,MR1_output==10,constant==9,MR2_input_a==54,MR2_input_b==36,MR2_output==90,MR3_input_a==15,MR3_input_b==13,MR3_output==28,MR4_input_a==-3,MR4_input_b==-5,MR4_output==-8,No-violated,No-violated,Violated,Violated,KMeans==2,third
190,input_a==7,input_b==2,sum,output==9,MR1_input_a==2,MR1_input_b==7,MR1_output==9,constant==9,MR2_input_a==63,MR2_input_b==18,MR2_output==81,MR3_input_a==16,MR3_input_b==11,MR3_output==27,MR4_input_a==-2,MR4_input_b==-7,MR4_output==-9,No-violated,No-violated,Violated,Violated,KMeans==2,third
192,input_a==8,input_b==0,sum,output==8,MR1_input_a==0,MR1_input_b==8,MR1_output==8,constant==5,MR2_input_a==40,MR2_input_b==0,MR2_output==40,MR3_input_a==13,MR3_input_b==5,MR3_output==18,MR4_input_a==3,MR4_input_b==-5,MR4_output==-2,No-violated,No-violated,Violated,Violated,KMeans==2,third
193,input_a==6,input_b==3,sum,output==9,MR1_input_a==3,MR1_input_b==6,MR1_output==9,constant==5,MR2_input_a==30,MR2_input_b==15,MR2_output==45,MR3_input_a==11,MR3_input_b==8,MR3_output==19,MR4_input_a==1,MR4_input_b==-2,MR4_output==-1,No-violated,No-violated,Violated,Violated,KMeans==2,third
199,input_a==9,input_b==7,sum,output==16,MR1_input_a==7,MR1_input_b==9,MR1_output==16,constant==7,MR2_input_a==63,MR2_input_b==49,MR2_output==112,MR3_input_a==16,MR3_input_b==14,MR3_output==30,MR4_input_a==2,MR4_input_b==0,MR4_output==2,No-violated,No-violated,Violated,Violated,KMeans==2,third
