,id,input_a,input_b,output_add,output_sub,output_add_MR1,output_sub_MR1,output_add_MR2,output_sub_MR2,output_add_MR3,output_sub_MR3,output_add_MR4,output_sub_MR4,MR1_checker_add,MR2_checker_add,MR3_checker_add,MR4_checker_add,MR1_checker_sub,MR2_checker_sub,MR3_checker_sub,MR4_checker_sub
122,6cWHpYopCEeMQpnrDcowaV,0,7,7,-7,7,7,21,-21,13,-7,1,-7,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
123,Cwr7erYyvPqpDXC9YMhB5F,0,7,7,-7,7,7,21,-21,13,-7,1,-7,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
124,hEHKXhJqDSMSWHSVmnpafC,7,7,14,0,14,0,42,0,20,0,8,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
125,H9MsFBr6LjVkj8j7tKSoGg,7,7,14,0,14,0,42,0,20,0,8,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
126,nto39Z3ntafCAeXkQEzfX5,7,7,14,0,14,0,42,0,20,0,8,0,No-violated,No-violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
127,AXucyzKq96sYg27Qmt9JyH,8,0,8,8,8,-8,24,24,14,8,2,8,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
128,2pjAiYqnfunmrDerzgToYP,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
129,6tvYcpQrW45aGU4JpfYWcY,3,0,3,3,3,-3,9,9,9,3,-3,3,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
130,5jko5DgGFFwLyttC5GupZR,3,0,3,3,3,-3,9,9,9,3,-3,3,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
131,iQEGqFt24KfjH56VdWi44B,1,0,1,1,1,-1,3,3,7,1,-5,1,No-violated,No-violated,Violated,Violated,Violated,No-violated,No-violated,No-violated
132,9yE8YRBUfbuDVvQcke3M2Z,0,0,0,0,0,0,0,0,6,0,-6,0,No-violated,Violated,Violated,Violated,No-violated,Violated,No-violated,No-violated
133,ntAL2PmVgdiM49YKG59Fpt,0,6,6,-6,6,6,18,-18,12,-6,0,-6,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
134,k7kxcZr5H9jXqhXnvzkf9L,0,6,6,-6,6,6,18,-18,12,-6,0,-6,No-violated,No-violated,Violated,Violated,Violated,Violated,No-violated,No-violated
