,"(a,b)",input_a,input_b,operand,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
56,"(0,2)",0,2,sub,6,-2.0,0.0,12.0,"(0,12)",-12.0,Violated
57,"(0,1)",0,1,sub,6,-1.0,0.0,6.0,"(0,6)",-6.0,Violated
58,"(6,1)",6,1,sub,6,5.0,36.0,6.0,"(36,6)",30.0,No-violated
59,"(9,3)",9,3,sub,6,6.0,54.0,18.0,"(54,18)",36.0,No-violated
60,"(4,2)",4,2,sub,6,2.0,24.0,12.0,"(24,12)",12.0,No-violated
61,"(0,3)",0,3,sub,6,-3.0,0.0,18.0,"(0,18)",-18.0,Violated
62,"(6,3)",6,3,sub,6,3.0,36.0,18.0,"(36,18)",18.0,No-violated
63,"(9,7)",9,7,sub,6,2.0,54.0,42.0,"(54,42)",12.0,No-violated
64,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
65,"(5,7)",5,7,sub,6,-2.0,30.0,42.0,"(30,42)",-12.0,Violated
66,"(9,6)",9,6,sub,6,3.0,54.0,36.0,"(54,36)",18.0,No-violated
67,"(3,4)",3,4,sub,6,-1.0,18.0,24.0,"(18,24)",-6.0,Violated
68,"(7,4)",7,4,sub,6,3.0,42.0,24.0,"(42,24)",18.0,No-violated
69,"(7,9)",7,9,sub,6,-2.0,42.0,54.0,"(42,54)",-12.0,Violated
70,"(5,7)",5,7,sub,6,-2.0,30.0,42.0,"(30,42)",-12.0,Violated
71,"(5,8)",5,8,sub,6,-3.0,30.0,48.0,"(30,48)",-18.0,Violated
72,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
73,"(1,0)",1,0,sub,6,1.0,6.0,0.0,"(6,0)",6.0,No-violated
74,"(2,2)",2,2,sub,6,0.0,12.0,12.0,"(12,12)",0.0,Violated
75,"(3,7)",3,7,sub,6,-4.0,18.0,42.0,"(18,42)",-24.0,Violated
76,"(1,7)",1,7,sub,6,-6.0,6.0,42.0,"(6,42)",-36.0,Violated
77,"(9,9)",9,9,sub,6,0.0,54.0,54.0,"(54,54)",0.0,Violated
78,"(2,9)",2,9,sub,6,-7.0,12.0,54.0,"(12,54)",-42.0,Violated
79,"(4,8)",4,8,sub,6,-4.0,24.0,48.0,"(24,48)",-24.0,Violated
80,"(5,4)",5,4,sub,6,1.0,30.0,24.0,"(30,24)",6.0,No-violated
81,"(2,6)",2,6,sub,6,-4.0,12.0,36.0,"(12,36)",-24.0,Violated
82,"(1,6)",1,6,sub,6,-5.0,6.0,36.0,"(6,36)",-30.0,Violated
83,"(6,2)",6,2,sub,6,4.0,36.0,12.0,"(36,12)",24.0,No-violated
84,"(4,1)",4,1,sub,6,3.0,24.0,6.0,"(24,6)",18.0,No-violated
85,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
86,"(6,5)",6,5,sub,6,1.0,36.0,30.0,"(36,30)",6.0,No-violated
87,"(9,4)",9,4,sub,6,5.0,54.0,24.0,"(54,24)",30.0,No-violated
88,"(8,1)",8,1,sub,6,7.0,48.0,6.0,"(48,6)",42.0,No-violated
89,"(9,4)",9,4,sub,6,5.0,54.0,24.0,"(54,24)",30.0,No-violated
90,"(4,0)",4,0,sub,6,4.0,24.0,0.0,"(24,0)",24.0,No-violated
91,"(4,3)",4,3,sub,6,1.0,24.0,18.0,"(24,18)",6.0,No-violated
92,"(5,1)",5,1,sub,6,4.0,30.0,6.0,"(30,6)",24.0,No-violated
93,"(3,5)",3,5,sub,6,-2.0,18.0,30.0,"(18,30)",-12.0,Violated
94,"(2,5)",2,5,sub,6,-3.0,12.0,30.0,"(12,30)",-18.0,Violated
95,"(2,7)",2,7,sub,6,-5.0,12.0,42.0,"(12,42)",-30.0,Violated
96,"(2,3)",2,3,sub,6,-1.0,12.0,18.0,"(12,18)",-6.0,Violated
97,"(1,3)",1,3,sub,6,-2.0,6.0,18.0,"(6,18)",-12.0,Violated
98,"(0,6)",0,6,sub,6,-6.0,0.0,36.0,"(0,36)",-36.0,Violated
99,"(1,8)",1,8,sub,6,-7.0,6.0,48.0,"(6,48)",-42.0,Violated
