,"(a,b)",input_a,input_b,operand,const,output,MR4_input_a,MR4_input_b,MR4_inputs,MR4_output,MR4_checker
90,"(1,7)",1,7,sub,6,-6.0,-5.0,1.0,"(-5,1)",-6.0,No-violated
91,"(1,7)",1,7,sum,6,8.0,-5.0,1.0,"(-5,1)",-4.0,Violated
92,"(5,8)",5,8,sub,6,-3.0,-1.0,2.0,"(-1,2)",-3.0,No-violated
93,"(5,8)",5,8,sum,6,13.0,-1.0,2.0,"(-1,2)",1.0,Violated
94,"(5,1)",5,1,sub,6,4.0,-1.0,-5.0,"(-1,-5)",4.0,No-violated
95,"(5,1)",5,1,sum,6,6.0,-1.0,-5.0,"(-1,-5)",-6.0,Violated
96,"(8,8)",8,8,sub,6,0.0,2.0,2.0,"(2,2)",0.0,No-violated
97,"(8,8)",8,8,sum,6,16.0,2.0,2.0,"(2,2)",4.0,Violated
98,"(6,6)",6,6,sub,6,0.0,0.0,0.0,"(0,0)",0.0,No-violated
99,"(6,6)",6,6,sum,6,12.0,0.0,0.0,"(0,0)",0.0,Violated
100,"(5,2)",5,2,sub,6,3.0,-1.0,-4.0,"(-1,-4)",3.0,No-violated
101,"(5,2)",5,2,sum,6,7.0,-1.0,-4.0,"(-1,-4)",-5.0,Violated
102,"(3,5)",3,5,sub,6,-2.0,-3.0,-1.0,"(-3,-1)",-2.0,No-violated
103,"(3,5)",3,5,sum,6,8.0,-3.0,-1.0,"(-3,-1)",-4.0,Violated
104,"(9,9)",9,9,sub,6,0.0,3.0,3.0,"(3,3)",0.0,No-violated
105,"(9,9)",9,9,sum,6,18.0,3.0,3.0,"(3,3)",6.0,Violated
106,"(2,4)",2,4,sub,6,-2.0,-4.0,-2.0,"(-4,-2)",-2.0,No-violated
107,"(2,4)",2,4,sum,6,6.0,-4.0,-2.0,"(-4,-2)",-6.0,Violated
108,"(9,7)",9,7,sub,6,2.0,3.0,1.0,"(3,1)",2.0,No-violated
109,"(9,7)",9,7,sum,6,16.0,3.0,1.0,"(3,1)",4.0,Violated
110,"(0,2)",0,2,sub,6,-2.0,-6.0,-4.0,"(-6,-4)",-2.0,No-violated
111,"(0,2)",0,2,sum,6,2.0,-6.0,-4.0,"(-6,-4)",-10.0,Violated
112,"(0,2)",0,2,sub,6,-2.0,-6.0,-4.0,"(-6,-4)",-2.0,No-violated
113,"(0,2)",0,2,sum,6,2.0,-6.0,-4.0,"(-6,-4)",-10.0,Violated
114,"(0,1)",0,1,sub,6,-1.0,-6.0,-5.0,"(-6,-5)",-1.0,No-violated
115,"(0,1)",0,1,sum,6,1.0,-6.0,-5.0,"(-6,-5)",-11.0,Violated
116,"(6,1)",6,1,sub,6,5.0,0.0,-5.0,"(0,-5)",5.0,No-violated
117,"(6,1)",6,1,sum,6,7.0,0.0,-5.0,"(0,-5)",-5.0,Violated
118,"(9,3)",9,3,sub,6,6.0,3.0,-3.0,"(3,-3)",6.0,No-violated
119,"(9,3)",9,3,sum,6,12.0,3.0,-3.0,"(3,-3)",0.0,Violated
120,"(4,2)",4,2,sub,6,2.0,-2.0,-4.0,"(-2,-4)",2.0,No-violated
121,"(4,2)",4,2,sum,6,6.0,-2.0,-4.0,"(-2,-4)",-6.0,Violated
122,"(0,3)",0,3,sub,6,-3.0,-6.0,-3.0,"(-6,-3)",-3.0,No-violated
123,"(0,3)",0,3,sum,6,3.0,-6.0,-3.0,"(-6,-3)",-9.0,Violated
124,"(6,3)",6,3,sub,6,3.0,0.0,-3.0,"(0,-3)",3.0,No-violated
125,"(6,3)",6,3,sum,6,9.0,0.0,-3.0,"(0,-3)",-3.0,Violated
126,"(9,7)",9,7,sub,6,2.0,3.0,1.0,"(3,1)",2.0,No-violated
127,"(9,7)",9,7,sum,6,16.0,3.0,1.0,"(3,1)",4.0,Violated
128,"(3,4)",3,4,sub,6,-1.0,-3.0,-2.0,"(-3,-2)",-1.0,No-violated
129,"(3,4)",3,4,sum,6,7.0,-3.0,-2.0,"(-3,-2)",-5.0,Violated
130,"(5,7)",5,7,sub,6,-2.0,-1.0,1.0,"(-1,1)",-2.0,No-violated
131,"(5,7)",5,7,sum,6,12.0,-1.0,1.0,"(-1,1)",0.0,Violated
132,"(9,6)",9,6,sub,6,3.0,3.0,0.0,"(3,0)",3.0,No-violated
133,"(9,6)",9,6,sum,6,15.0,3.0,0.0,"(3,0)",3.0,Violated
134,"(3,4)",3,4,sub,6,-1.0,-3.0,-2.0,"(-3,-2)",-1.0,No-violated
135,"(3,4)",3,4,sum,6,7.0,-3.0,-2.0,"(-3,-2)",-5.0,Violated
136,"(7,4)",7,4,sub,6,3.0,1.0,-2.0,"(1,-2)",3.0,No-violated
137,"(7,4)",7,4,sum,6,11.0,1.0,-2.0,"(1,-2)",-1.0,Violated
138,"(7,9)",7,9,sub,6,-2.0,1.0,3.0,"(1,3)",-2.0,No-violated
139,"(7,9)",7,9,sum,6,16.0,1.0,3.0,"(1,3)",4.0,Violated
140,"(5,7)",5,7,sub,6,-2.0,-1.0,1.0,"(-1,1)",-2.0,No-violated
141,"(5,7)",5,7,sum,6,12.0,-1.0,1.0,"(-1,1)",0.0,Violated
